date,company,amount,stage,category,formatted_amount,timeline,fund_slug
"May 20, 2021","{'name': 'Structure finance', 'key': 'structure-finance', 'logo': 'https://img.cryptorank.io/coins/60x60.structure finance1631864385938.png'}",0.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}",$0,"May 20, 2021 • Seed",bancor
"May 12, 2021","{'name': 'NAOS Finance', 'key': 'naos-finance', 'logo': 'https://img.cryptorank.io/coins/60x60.naos finance1619684910492.png'}",0.0,Strategic,"{'name': 'DeFi', 'slug': 'defi'}",$0,"May 12, 2021 • Strategic",bancor
"Oct 04, 2018","{'name': 'Skale', 'key': 'skale', 'logo': 'https://img.cryptorank.io/coins/60x60.skale1606817828106.png'}",9650000.0,Undisclosed,"{'name': 'Chain', 'slug': 'chain'}","$9,650,000","Oct 04, 2018 • Undisclosed",canaan-partners
"May 20, 2021","{'name': 'Forte', 'key': 'forte', 'logo': 'https://img.cryptorank.io/coins/60x60.forte1668088628254.png'}",185000000.0,Series A,"{'name': 'GameFi', 'slug': 'gamefi'}","$185,000,000","May 20, 2021 • Series A",canaan-partners
"May 20, 2021","{'name': 'Trade Republic', 'key': 'trade-republic', 'logo': 'https://img.cryptorank.io/coins/60x60.trade_republic1666019115974.png'}",900000000.0,Series C,"{'name': 'CeFi', 'slug': 'ce-fi'}","$900,000,000","May 20, 2021 • Series C",tcv
"Jul 24, 2020","{'name': 'Revolut', 'key': 'revolut', 'logo': 'https://img.cryptorank.io/coins/60x60.revolut1666617020883.png'}",500000000.0,Series D,"{'name': None, 'slug': None}","$500,000,000","Jul 24, 2020 • Series D",tcv
"May 20, 2021","{'name': 'BSClaunch', 'key': 'bsclaunch', 'logo': 'https://img.cryptorank.io/coins/60x60.bsclaunch1621274645056.png'}",800000.0,Strategic,"{'name': 'DeFi', 'slug': 'defi'}","$800,000","May 20, 2021 • Strategic",bta-ventures
"May 19, 2021","{'name': 'Vertalo', 'key': 'vertalo', 'logo': 'https://img.cryptorank.io/coins/60x60.vertalo1672302685795.png'}",5000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$5,000,000","May 19, 2021 • Series A",shasta-ventures
"Dec 19, 2018","{'name': 'Layer1', 'key': 'layer-1', 'logo': 'https://img.cryptorank.io/coins/60x60.layer_11669191927941.png'}",2100000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$2,100,000","Dec 19, 2018 • Seed",shasta-ventures
"May 14, 2021","{'name': 'ZKCHAOS ', 'key': 'zkchaos', 'logo': 'https://img.cryptorank.io/coins/60x60.zkchaos 1620990941073.png'}",1200000.0,Strategic,"{'name': None, 'slug': None}","$1,200,000","May 14, 2021 • Strategic",ape-capital
