name,code,normal,lead,categories,fund_slug
Australia,AU,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",uob-venture
Switzerland,CH,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",uob-venture
Taiwan,TW,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",uob-venture
Thailand,TH,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",uob-venture
Poland,PL,1,0,[],uob-venture
Republic of the Congo,CG,1,0,[],uob-venture
Germany,DE,1,0,[],uob-venture
Indonesia,ID,1,0,[],uob-venture
United States,US,11,5,"[{'name': 'Blockchain Service', 'count': 6, 'percent': 37.5}, {'name': 'CeFi', 'count': 6, 'percent': 37.5}, {'name': 'Chain', 'count': 2, 'percent': 12.5}, {'name': 'DeFi', 'count': 1, 'percent': 6.25}, {'name': 'NFT', 'count': 1, 'percent': 6.25}]",accomplice-blockchain
United Kingdom,GB,3,0,"[{'name': 'DeFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",accomplice-blockchain
India,IN,1,1,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",accomplice-blockchain
Canada,CA,2,0,"[{'name': 'NFT', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",accomplice-blockchain
Singapore,SG,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",accomplice-blockchain
Switzerland,CH,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",accomplice-blockchain
British Virgin Islands,VG,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",accomplice-blockchain
Cayman Islands,KY,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",accomplice-blockchain
Israel,IL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",accomplice-blockchain
Portugal,PT,0,1,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",accomplice-blockchain
United States,US,4,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'DeFi', 'count': 1, 'percent': 25.0}, {'name': 'CeFi', 'count': 1, 'percent': 25.0}, {'name': 'Chain', 'count': 1, 'percent': 25.0}]",newman-capital
Singapore,SG,3,0,"[{'name': 'GameFi', 'count': 2, 'percent': 66.67}, {'name': 'CeFi', 'count': 1, 'percent': 33.33}]",newman-capital
Hong Kong,HK,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'NFT', 'count': 1, 'percent': 50.0}]",newman-capital
China,CN,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",newman-capital
Israel,IL,6,1,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 42.86}, {'name': 'DeFi', 'count': 2, 'percent': 28.57}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 14.29}, {'name': 'CeFi', 'count': 1, 'percent': 14.29}]",collider-ventures
United Kingdom,GB,2,1,"[{'name': 'DeFi', 'count': 3, 'percent': 100.0}]",collider-ventures
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",collider-ventures
British Virgin Islands,VG,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",collider-ventures
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",collider-ventures
Estonia,EE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",collider-ventures
Cayman Islands,KY,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",collider-ventures
United States,US,11,1,"[{'name': 'GameFi', 'count': 4, 'percent': 33.33}, {'name': 'Blockchain Service', 'count': 3, 'percent': 25.0}, {'name': 'Social', 'count': 3, 'percent': 25.0}, {'name': 'CeFi', 'count': 2, 'percent': 16.67}]",advancit-capital
Argentina,AR,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",advancit-capital
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",advancit-capital
United States,US,5,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 40.0}, {'name': 'Blockchain Infrastructure', 'count': 2, 'percent': 40.0}, {'name': 'Social', 'count': 1, 'percent': 20.0}]",geometry
Israel,IL,1,1,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",geometry
India,IN,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",geometry
Kenya,KE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",geometry
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",geometry
United States,US,7,0,"[{'name': 'Others', 'count': 2, 'percent': 28.57}, {'name': 'Blockchain Service', 'count': 1, 'percent': 14.29}, {'name': 'GameFi', 'count': 1, 'percent': 14.29}, {'name': 'DeFi', 'count': 1, 'percent': 14.29}, {'name': 'NFT', 'count': 1, 'percent': 14.29}, {'name': 'CeFi', 'count': 1, 'percent': 14.29}]",abstract-ventures
Brazil,BR,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",abstract-ventures
Serbia,RS,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",abstract-ventures
United Kingdom,GB,1,2,"[{'name': 'GameFi', 'count': 2, 'percent': 66.67}, {'name': 'NFT', 'count': 1, 'percent': 33.33}]",scytale-ventures
Germany,DE,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",scytale-ventures
United States,US,0,2,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'GameFi', 'count': 1, 'percent': 50.0}]",scytale-ventures
Singapore,SG,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",scytale-ventures
South Korea,KR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",blockbase
Thailand,TH,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",blockbase
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",blockbase
Japan,JP,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",decima
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",decima
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Social', 'count': 1, 'percent': 50.0}]",2punkscapital
Canada,CA,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",2punkscapital
Switzerland,CH,2,0,"[{'name': 'DeFi', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",arkn-ventures
China,CN,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",arkn-ventures
Italy,IT,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",black-alpha
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",black-alpha
Portugal,PT,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",marsdao
