range,percentage,min,max,fund_slug
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,stellardf
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,stellardf
"$10,000,000 - $20,000,000",13.33,10000000,20000000.0,stellardf
"$20,000,000 - $50,000,000",20.0,20000000,50000000.0,stellardf
"$50,000,000+",6.67,50000000,,stellardf
"$0 - $1,000,000",0.0,0,1000000.0,coin-fund
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,coin-fund
"$3,000,000 - $10,000,000",55.0,3000000,10000000.0,coin-fund
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,coin-fund
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,coin-fund
"$50,000,000+",0.0,50000000,,coin-fund
"$0 - $1,000,000",0.0,0,1000000.0,variant
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,variant
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,variant
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,variant
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,variant
"$50,000,000+",10.0,50000000,,variant
"$0 - $1,000,000",0.0,0,1000000.0,unionsquare
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,unionsquare
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,unionsquare
"$10,000,000 - $20,000,000",35.0,10000000,20000000.0,unionsquare
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,unionsquare
"$50,000,000+",5.0,50000000,,unionsquare
"$0 - $1,000,000",0.0,0,1000000.0,ribbit-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,ribbit-capital
"$3,000,000 - $10,000,000",15.0,3000000,10000000.0,ribbit-capital
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,ribbit-capital
"$20,000,000 - $50,000,000",35.0,20000000,50000000.0,ribbit-capital
"$50,000,000+",25.0,50000000,,ribbit-capital
"$0 - $1,000,000",0.0,0,1000000.0,cmt-digital
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,cmt-digital
